"","term","grammar_category","polarity","polarity_target","polarity_classification"
"3710","hipnotizar","V",-1,"N0:N1","MAN"
"3711","hipnotizavel","Adj",-1,"N0","MAN"
"3712","hipocondria","N",-1,"N0","MAN"
"3713","hipocondriaco","Adj",-1,"N0","MAN"
"3714","hipocrisia","N",-1,"N0","MAN"
"3715","hipocrita","Adj",-1,"N0","MAN"
"3716","hirsuto","Adj",-1,"N0","JALC"
"3717","hirto","Adj",0,"N0","MAN"
"3718","histeria","N",-1,"N0","MAN"
"3719","histerico","Adj",-1,"N0","MAN"
"3720","histrionico","Adj",-1,"N0","JALC"
"3721","hodierno","Adj",1,"N0","JALC"
"3722","homenagear","V",0,"N0:N1","MAN"
"3723","homicida","Adj",-1,"N0","MAN"
"3724","homicidio","N",-1,"N0","MAN"
"3725","homiziado","Adj",-1,"N0","JALC"
"3726","homogeneo","Adj",1,"N0","JALC"
"3727","honestidade","N",1,"N0","MAN"
"3728","honesto","Adj",1,"N0","MAN"
"3729","honorabilidade","N",1,"N0","MAN"
"3730","honoravel","Adj",1,"N0","MAN"
"3731","honra","N",1,"N0","MAN"
"3732","honradez","N",1,"N0","MAN"
"3733","honrado","Adj",1,"N0","MAN"
"3734","honrar a sua palavra","IDIOM",1,"N0","MAN"
"3735","honrar os seus compromissos","IDIOM",1,"N0","MAN"
"3736","honrar","V",1,"N0:N1","MAN"
"3737","honroso","Adj",1,"N0","MAN"
"3738","horrendo","Adj",-1,"N0","MAN"
"3739","horribilidade","N",-1,"N0","MAN"
"3740","horrido","Adj",-1,"N0","MAN"
"3741","horrifico","Adj",-1,"N0","MAN"
"3742","horripilacao","N",-1,"N0","MAN"
"3743","horripilante","Adj",-1,"N0","MAN"
"3744","horrivel","Adj",-1,"N0","MAN"
"3745","horror","N",-1,"N0","MAN"
"3746","horrorizar","V",-1,"N0:N1","MAN"
"3747","horroroso","Adj",-1,"N0","MAN"
"3748","hospitaleiro","Adj",1,"N0","MAN"
"3749","hospitalidade","N",1,"N0","MAN"
"3750","hostil","Adj",-1,"N0","MAN"
"3751","hostilidade","N",-1,"N0","MAN"
"3752","humanidade","N",1,"N0","MAN"
"3753","humanista","Adj",0,"N0","MAN"
"3754","humanitario","Adj",1,"N0","JALC"
"3755","humano","Adj",1,"N0","MAN"
"3756","humilde","Adj",0,"N0","MAN"
"3757","humilhado","Adj",-1,"N0","JALC"
"3758","humilhar-se","V",-1,"N0","MAN"
"3759","humilhar","V",1,"N0:N1","MAN"
"3760","ideal","Adj",1,"N0","JALC"
"3761","idealista","Adj",0,"N0","MAN"
"3762","idilico","Adj",0,"N0","JALC"
"3763","idiota","Adj",-1,"N0","MAN"
"3764","idiotia","N",-1,"N0","MAN"
"3765","idiotice","N",-1,"N0","MAN"
"3766","idolatra","Adj",0,"N0","MAN"
"3767","idolatrado","Adj",1,"N0","JALC"
"3768","idoneidade","N",1,"N0","MAN"
"3769","idoneo","Adj",1,"N0","JALC"
"3770","idoneo","Adj",1,"N0","MAN"
"3771","idoso","Adj",0,"N0","MAN"
"3772","ignaro","Adj",-1,"N0","MAN"
"3773","ignobil","Adj",-1,"N0","MAN"
"3774","ignominia","N",-1,"N0","MAN"
"3775","ignominioso","Adj",-1,"N0","MAN"
"3776","ignorado","Adj",-1,"N0","JALC"
"3777","ignorancia","N",-1,"N0","MAN"
"3778","ignorante","Adj",-1,"N0","MAN"
"3779","ignorar","V",0,"N0:N1","MAN"
"3780","ignoto","Adj",-1,"N0","MAN"
"3781","igual","Adj",0,"N0","JALC"
"3782","igualitario","Adj",0,"N0","MAN"
"3783","ilegal","Adj",-1,"N0","JALC"
"3784","ilegitimo","Adj",-1,"N0","JALC"
"3785","ilegivel","Adj",-1,"N0","JALC"
"3786","ileso","Adj",1,"N0","JALC"
"3787","iletrado","Adj",-1,"N0","MAN"
"3788","ilibado","Adj",1,"N0","JALC"
"3789","ilibar","V",0,"N0:N1","MAN"
"3790","iliberal","Adj",-1,"N0","JALC"
"3791","iliteracia","N",-1,"N0","MAN"
"3792","iliterato","Adj",-1,"N0","MAN"
"3793","ilogico","Adj",-1,"N0","MAN"
"3794","ilogismo","N",-1,"N0","MAN"
"3795","iludido","Adj",-1,"N0","JALC"
"3796","iludir","V",-1,"N0:N1","MAN"
"3797","iluminado","Adj",1,"N0","MAN"
"3798","iluminar","V",1,"N0:N1","MAN"
"3799","ilusao","N",-1,"N0","MAN"
"3800","ilusorio","Adj",-1,"N0","JALC"
"3801","ilustrado","Adj",1,"N0","JALC"
"3802","ilustre","Adj",1,"N0","MAN"
"3803","imaculabilidade","N",1,"N0","MAN"
"3804","imaculado","Adj",1,"N0","MAN"
"3805","imaculavel","Adj",0,"N0","JALC"
"3806","imagetico","Adj",1,"N0","MAN"
"3807","imaginativo","Adj",0,"N0","MAN"
"3808","imaginoso","Adj",0,"N0","MAN"
"3809","imaturidade","N",-1,"N0","MAN"
"3810","imaturo","Adj",-1,"N0","MAN"
"3811","imbativel","Adj",1,"N0","MAN"
"3812","imbecil","Adj",-1,"N0","MAN"
"3813","imbecilidade","N",-1,"N0","MAN"
"3814","imerecido","Adj",-1,"N0","JALC"
"3815","imisericordioso","Adj",-1,"N0","JALC"
"3816","imitador","Adj",-1,"N0","JALC"
"3817","imitar","V",-1,"N0:N1","MAN"
"3818","imitativo","Adj",-1,"N0","JALC"
"3819","imobilizado","Adj",-1,"N0","MAN"
"3820","imoderacao","N",-1,"N0","MAN"
"3821","imoderado","Adj",-1,"N0","MAN"
"3822","imodestia","N",-1,"N0","MAN"
"3823","imodesto","Adj",-1,"N0","MAN"
"3824","imolado","Adj",1,"N0","JALC"
"3825","imoral","Adj",-1,"N0","MAN"
"3826","imoralidade","N",-1,"N0","MAN"
"3827","imorigerado","Adj",-1,"N0","MAN"
"3828","imortal","Adj",1,"N0","MAN"
"3829","imortalizado","Adj",1,"N0","MAN"
"3830","imovel","Adj",-1,"N0","JALC"
"3831","impaciente","Adj",-1,"N0","MAN"
"3832","impagavel","Adj",1,"N0","MAN"
"3833","impante","Adj",-1,"N0","JALC"
"3834","imparavel","Adj",0,"N0","MAN"
"3835","imparcial","Adj",1,"N0","JALC"
"3836","impassivel","Adj",0,"N0","MAN"
"3837","impatriota","Adj",-1,"N0","MAN"
"3838","impavido e sereno","Adj",0,"N0","MAN"
"3839","impavido","Adj",1,"N0","JALC"
"3840","impecabilidade","N",1,"N0","MAN"
"3841","impecavel","Adj",1,"N0","MAN"
"3842","impecunioso","Adj",-1,"N0","MAN"
"3843","impedido","Adj",0,"N0","JALC"
"3844","impelido","Adj",-1,"N0","JALC"
"3845","impenetravel","Adj",-1,"N0","MAN"
"3846","impenitente","Adj",-1,"N0","MAN"
"3847","imperceptivel","Adj",-1,"N0","JALC"
"3848","impercetivel","Adj",-1,"N0","JALC"
"3849","imperdoavel","Adj",-1,"N0","JALC"
"3850","imperfeicao","N",-1,"N0","MAN"
"3851","imperfeito","Adj",-1,"N0","MAN"
"3852","imperial","Adj",-1,"N0","MAN"
"3853","imperialista","Adj",-1,"N0","MAN"
"3854","imperiosidade","N",-1,"N0","MAN"
"3855","imperioso","Adj",-1,"N0","MAN"
"3856","imperito","Adj",-1,"N0","JALC"
"3857","impermanencia","N",-1,"N0","MAN"
"3858","impermanente","Adj",-1,"N0","MAN"
"3859","imperscrutavel","Adj",-1,"N0","MAN"
"3860","imperterrito","Adj",1,"N0","MAN"
"3861","impertinencia","N",-1,"N0","MAN"
"3862","impertinente","Adj",-1,"N0","MAN"
"3863","imperturbado","Adj",1,"N0","MAN"
"3864","imperturbavel","Adj",1,"N0","MAN"
"3865","impessoal","Adj",-1,"N0","MAN"
"3866","impessoalidade","N",-1,"N0","MAN"
"3867","impetuosidade","N",-1,"N0","MAN"
"3868","impetuoso","Adj",-1,"N0","MAN"
"3869","impiedade","N",-1,"N0","MAN"
"3870","impiedoso","Adj",-1,"N0","MAN"
"3871","impio","Adj",-1,"N0","MAN"
"3872","implacavel","Adj",-1,"N0","JALC"
"3873","implantado","Adj",0,"N0","JALC"
"3874","implicado","Adj",-1,"N0","JALC"
"3875","implicante","Adj",-1,"N0","JALC"
"3876","implicativo","Adj",-1,"N0","MAN"
"3877","implorante","Adj",0,"N0","MAN"
"3878","implorar","V",-1,"N0:N1","MAN"
"3879","implorativo","Adj",0,"N0","MAN"
"3880","impoluto","Adj",1,"N0","MAN"
"3881","imponderacao","N",-1,"N0","MAN"
"3882","imponderado","Adj",-1,"N0","MAN"
"3883","imponente","Adj",1,"N0","MAN"
"3884","impontual","Adj",-1,"N0","MAN"
"3885","impontualidade","N",-1,"N0","MAN"
"3886","impopular","Adj",-1,"N0","MAN"
"3887","impopularidade","N",-1,"N0","MAN"
"3888","importunado","Adj",-1,"N0","JALC"
"3889","importuno","Adj",-1,"N0","MAN"
"3890","impossivel","Adj",-1,"N0","JALC"
"3891","imposto","Adj",-1,"N0","JALC"
"3892","impostor","Adj",-1,"N0","MAN"
"3893","impostura","N",-1,"N0","MAN"
"3894","impotencia","N",-1,"N0","MAN"
"3895","impotente","Adj",-1,"N0","JALC"
"3896","imprecisao","N",-1,"N0","MAN"
"3897","impreciso","Adj",-1,"N0","MAN"
"3898","impregnado","Adj",-1,"N0","JALC"
"3899","impreparado","Adj",-1,"N0","MAN"
"3900","impressionado","Adj",0,"N0","JALC"
"3901","impressionante","Adj",0,"N0","MAN"
"3902","impressionar","V",1,"N0:N1","MAN"
"3903","impressionavel","Adj",-1,"N0","MAN"
"3904","imprestabilidade","N",-1,"N0","MAN"
"3905","imprestavel","Adj",-1,"N0","MAN"
"3906","imprevidencia","N",-1,"N0","MAN"
"3907","imprevidente","Adj",-1,"N0","MAN"
"3908","imprevisivel","Adj",0,"N0","MAN"
"3909","improcedencia","N",-1,"N0","MAN"
"3910","improcedente","Adj",-1,"N0","MAN"
"3911","improducente","Adj",-1,"N0","MAN"
"3912","improdutividade","N",-1,"N0","MAN"
"3913","improdutivo","Adj",-1,"N0","MAN"
"3914","improvisador","Adj",0,"N0","MAN"
"3915","imprudencia","N",-1,"N0","MAN"
"3916","imprudente","Adj",-1,"N0","MAN"
"3917","impudente","Adj",-1,"N0","MAN"
"3918","impudicicia","N",-1,"N0","MAN"
"3919","impudico","Adj",-1,"N0","MAN"
"3920","impugnado","Adj",-1,"N0","JALC"
"3921","impulsivo","Adj",-1,"N0","MAN"
"3922","impuro","Adj",-1,"N0","JALC"
"3923","imputado","Adj",-1,"N0","JALC"
"3924","imundicie","N",-1,"N0","MAN"
"3925","imundo","Adj",-1,"N0","MAN"
"3926","imutavel","Adj",0,"N0","JALC"
"3927","inabil","Adj",-1,"N0","MAN"
"3928","inabilidade","N",-1,"N0","MAN"
"3929","inabordavel","Adj",-1,"N0","JALC"
"3930","inaceitavel","Adj",-1,"N0","JALC"
"3931","inacessivel","Adj",-1,"N0","MAN"
"3932","inacreditavel","Adj",0,"N0","MAN"
"3933","inactividade","N",-1,"N0","MAN"
"3934","inactivo","Adj",-1,"N0","MAN"
"3935","inadaptado","Adj",-1,"N0","MAN"
"3936","inadequado","Adj",-1,"N0","JALC"
"3937","inadmissivel","Adj",-1,"N0","JALC"
"3938","inalterado","Adj",0,"N0","JALC"
"3939","inamovivel","Adj",-1,"N0","MAN"
"3940","inanimacao","N",-1,"N0","MAN"
"3941","inanimado","Adj",-1,"N0","JALC"
"3942","inanime","Adj",-1,"N0","MAN"
"3943","inaplicado","Adj",-1,"N0","MAN"
"3944","inapresentavel","Adj",-1,"N0","MAN"
"3945","inapto","Adj",-1,"N0","JALC"
"3946","inatacavel","Adj",1,"N0","MAN"
"3947","inatividade","N",-1,"N0","MAN"
"3948","inativo","Adj",-1,"N0","JALC"
"3949","inaudito","Adj",1,"N0","JALC"
"3950","inautenticidade","N",-1,"N0","MAN"
"3951","inautentico","Adj",-1,"N0","MAN"
"3952","incansavel","Adj",1,"N0","MAN"
"3953","incapacidade","N",-1,"N0","MAN"
"3954","incapaz","Adj",-1,"N0","MAN"
"3955","incaracteristico","Adj",-1,"N0","JALC"
"3956","incauto","Adj",-1,"N0","MAN"
"3957","incendiado","Adj",-1,"N0","JALC"
"3958","incendiario","Adj",-1,"N0","JALC"
"3959","incensador","Adj",-1,"N0","MAN"
"3960","incensuravel","Adj",1,"N0","MAN"
"3961","incerteza","N",-1,"N0","MAN"
"3962","incerto","Adj",-1,"N0","MAN"
"3963","inchado","Adj",-1,"N0","JALC"
"3964","incipiente","Adj",-1,"N0","JALC"
"3965","incisivo","Adj",0,"N0","MAN"
"3966","incivil","Adj",-1,"N0","MAN"
"3967","incivilidade","N",-1,"N0","MAN"
"3968","incivilizado","Adj",-1,"N0","MAN"
"3969","inclemencia","N",-1,"N0","MAN"
"3970","inclemente","Adj",-1,"N0","MAN"
"3971","inclito","Adj",1,"N0","MAN"
"3972","incoercivel","Adj",0,"N0","MAN"
"3973","incoerencia","N",-1,"N0","MAN"
"3974","incoerente","Adj",-1,"N0","MAN"
"3975","incognito","Adj",-1,"N0","MAN"
"3976","incolume","Adj",1,"N0","JALC"
"3977","incomodado","Adj",-1,"N0","JALC"
"3978","incomodar","V",1,"N0:N1","MAN"
"3979","incomodativo","Adj",-1,"N0","MAN"
"3980","incomodidade","N",-1,"N0","MAN"
"3981","incomodo","Adj",-1,"N0","JALC"
"3982","incomodo","Adj",-1,"N0","MAN"
"3983","incompetencia","N",-1,"N0","MAN"
"3984","incompetente","Adj",-1,"N0","MAN"
"3985","incompleto","Adj",-1,"N0","JALC"
"3986","incompreensibilidade","N",-1,"N0","MAN"
"3987","incompreensivel","Adj",-1,"N0","MAN"
"3988","incomum","Adj",0,"N0","MAN"
"3989","inconcebivel","Adj",-1,"N0","JALC"
"3990","inconciliavel","Adj",-1,"N0","JALC"
"3991","inconcluso","Adj",-1,"N0","JALC"
"3992","inconcusso","Adj",1,"N0","MAN"
"3993","inconfessavel","Adj",-1,"N0","JALC"
"3994","inconfidente","Adj",-1,"N0","MAN"
"3995","inconformado","Adj",0,"N0","MAN"
"3996","inconfundivel","Adj",0,"N0","MAN"
"3997","incongruencia","N",-1,"N0","MAN"
"3998","incongruente","Adj",-1,"N0","MAN"
"3999","inconsciencia","N",-1,"N0","MAN"
"4000","inconsciente","Adj",-1,"N0","MAN"
"4001","inconsequente","Adj",-1,"N0","JALC"
"4002","inconsequente","Adj",-1,"N0","MAN"
"4003","inconsiderado","Adj",-1,"N0","JALC"
"4004","inconsistencia","N",-1,"N0","MAN"
"4005","inconsistente","Adj",-1,"N0","MAN"
"4006","inconsolado","Adj",-1,"N0","MAN"
"4007","inconsolavel","Adj",-1,"N0","MAN"
"4008","inconstante","Adj",-1,"N0","MAN"
"4009","incontestavel","Adj",1,"N0","MAN"
"4010","incontinencia","N",-1,"N0","MAN"
"4011","incontinente","Adj",-1,"N0","MAN"
"4012","incontrariavel","Adj",-1,"N0","MAN"
"4013","incontrolado","Adj",-1,"N0","JALC"
"4014","incontroverso","Adj",1,"N0","MAN"
"4015","inconveniencia","N",-1,"N0","MAN"
"4016","inconveniente","Adj",-1,"N0","MAN"
"4017","inconversavel","Adj",-1,"N0","MAN"
"4018","incorrecao","N",-1,"N0","MAN"
"4019","incorreccao","N",-1,"N0","MAN"
"4020","incorrecto","Adj",-1,"N0","MAN"
"4021","incorreto","Adj",-1,"N0","MAN"
"4022","incorrigivel","Adj",-1,"N0","MAN"
"4023","incorrupcao","N",1,"N0","MAN"
"4024","incorruptibilidade","N",1,"N0","MAN"
"4025","incorruptivel","Adj",1,"N0","MAN"
"4026","incorrupto","Adj",1,"N0","MAN"
"4027","incredulo","Adj",0,"N0","MAN"
"4028","incriminar","V",0,"N0:N1","MAN"
"4029","incriticavel","Adj",1,"N0","MAN"
"4030","incrivel","Adj",0,"N0","MAN"
"4031","inculto","Adj",-1,"N0","MAN"
"4032","incultura","N",-1,"N0","MAN"
"4033","incumpridor","Adj",-1,"N0","MAN"
"4034","incuravel","Adj",-1,"N0","JALC"
"4035","indecencia","N",-1,"N0","MAN"
"4036","indecente","Adj",-1,"N0","MAN"
"4037","indecifravel","Adj",-1,"N0","JALC"
"4038","indeciso","Adj",-1,"N0","MAN"
"4039","indecoro","N",-1,"N0","MAN"
"4040","indecorosidade","N",-1,"N0","MAN"
"4041","indecoroso","Adj",-1,"N0","MAN"
"4042","indefectivel","Adj",1,"N0","JALC"
"4043","indefenso","Adj",-1,"N0","JALC"
"4044","indeferido","Adj",-1,"N0","JALC"
"4045","indefeso","Adj",-1,"N0","MAN"
"4046","indefetivel","Adj",1,"N0","JALC"
"4047","indefinido","Adj",-1,"N0","JALC"
"4048","indelevel","Adj",0,"N0","JALC"
"4049","indelicadeza","N",-1,"N0","MAN"
"4050","indelicado","Adj",-1,"N0","MAN"
"4051","indemnizado","Adj",1,"N0","JALC"
"4052","independente","Adj",0,"N0","MAN"
"4053","independentista","Adj",0,"N0","MAN"
"4054","inderrotavel","Adj",1,"N0","MAN"
"4055","inderrubavel","Adj",1,"N0","MAN"
"4056","indescritivel","Adj",0,"N0","JALC"
"4057","indesculpavel","Adj",-1,"N0","JALC"
"4058","indesejado","Adj",-1,"N0","MAN"
"4059","indesejavel","Adj",-1,"N0","JALC"
"4060","indestituivel","Adj",0,"N0","MAN"
"4061","indestronavel","Adj",0,"N0","MAN"
"4062","indestrutivel","Adj",1,"N0","MAN"
"4063","indeterminado","Adj",-1,"N0","JALC"
"4064","indiciado","Adj",-1,"N0","JALC"
"4065","indigente","Adj",-1,"N0","MAN"
"4066","indigesto","Adj",-1,"N0","JALC"
"4067","indigitavel","Adj",-1,"N0","MAN"
"4068","indignado","Adj",-1,"N0","JALC"
"4069","indignidade","N",-1,"N0","MAN"
"4070","indigno","Adj",-1,"N0","MAN"
"4071","indirecto","Adj",-1,"N0","MAN"
"4072","indireto","Adj",-1,"N0","JALC"
"4073","indisciplina","N",-1,"N0","MAN"
"4074","indisciplinado","Adj",-1,"N0","MAN"
"4075","indiscreto","Adj",-1,"N0","MAN"
"4076","indiscricao","N",-1,"N0","MAN"
"4077","indiscutivel","Adj",1,"N0","JALC"
"4078","indispensavel","Adj",1,"N0","JALC"
"4079","indisposicao","N",-1,"N0","MAN"
"4080","indisposto","Adj",-1,"N0","JALC"
"4081","indissociavel","Adj",0,"N0","JALC"
"4082","indistinto","Adj",-1,"N0","JALC"
"4083","inditoso","Adj",-1,"N0","MAN"
"4084","individualista","Adj",-1,"N0","MAN"
"4085","indocil","Adj",-1,"N0","MAN"
"4086","indocilidade","N",-1,"N0","MAN"
"4087","indolencia","N",-1,"N0","MAN"
"4088","indolente","Adj",-1,"N0","MAN"
"4089","indomavel","Adj",0,"N0","MAN"
"4090","indominavel","Adj",-1,"N0","MAN"
"4091","indomito","Adj",-1,"N0","MAN"
"4092","indubitavel","Adj",1,"N0","JALC"
"4093","indulgente","Adj",1,"N0","MAN"
"4094","industrioso","Adj",0,"N0","MAN"
"4095","induzir em erro","IDIOM",-1,"N0","MAN"
"4096","inebriado","Adj",-1,"N0","JALC"
"4097","inebriante","Adj",-1,"N0","MAN"
"4098","inefavel","Adj",-1,"N0","MAN"
"4099","ineficacia","N",-1,"N0","MAN"
"4100","ineficaz","Adj",-1,"N0","MAN"
"4101","ineficiencia","N",-1,"N0","MAN"
"4102","ineficiente","Adj",-1,"N0","MAN"
"4103","inelegivel","Adj",-1,"N0","MAN"
"4104","inelutavel","Adj",1,"N0","JALC"
"4105","inenarravel","Adj",-1,"N0","JALC"
"4106","inepcia","N",-1,"N0","MAN"
"4107","inepto","Adj",-1,"N0","MAN"
"4108","inequivoco","Adj",1,"N0","MAN"
"4109","inercia","N",-1,"N0","MAN"
"4110","inerme","Adj",-1,"N0","MAN"
"4111","inerte","Adj",-1,"N0","MAN"
"4112","inescrutavel","Adj",-1,"N0","JALC"
"4113","inesgotavel","Adj",1,"N0","JALC"
"4114","inesperado","Adj",0,"N0","JALC"
"4115","inesquecivel","Adj",0,"N0","MAN"
"4116","inexactidao","N",-1,"N0","MAN"
"4117","inexacto","Adj",-1,"N0","MAN"
"4118","inexatidao","N",-1,"N0","MAN"
"4119","inexato","Adj",-1,"N0","MAN"
"4120","inexcedivel","Adj",1,"N0","JALC"
"4121","inexoravel","Adj",-1,"N0","MAN"
"4122","inexperiencia","N",-1,"N0","MAN"
"4123","inexperiente","Adj",-1,"N0","MAN"
"4124","inexperto","Adj",-1,"N0","MAN"
"4125","inexplicavel","Adj",-1,"N0","JALC"
"4126","inexplicito","Adj",-1,"N0","MAN"
"4127","inexpressivo","Adj",-1,"N0","MAN"
"4128","inexprimivel","Adj",-1,"N0","JALC"
"4129","infalivel","Adj",1,"N0","JALC"
"4130","infamado","Adj",-1,"N0","JALC"
"4131","infamante","Adj",-1,"N0","MAN"
"4132","infame","Adj",-1,"N0","MAN"
"4133","infamia","N",-1,"N0","MAN"
"4134","infantil","Adj",-1,"N0","MAN"
"4135","infantilidade","N",-1,"N0","MAN"
"4136","infatigavel","Adj",1,"N0","MAN"
"4137","infectado","Adj",-1,"N0","JALC"
"4138","infecundo","Adj",-1,"N0","MAN"
"4139","infelicidade","N",-1,"N0","MAN"
"4140","infeliz","Adj",-1,"N0","MAN"
"4141","infernal","Adj",-1,"N0","JALC"
"4142","infernizar a vida a","IDIOM",0,"N0:N1","MAN"
"4143","infernizar","V",1,"N0:N1","MAN"
"4144","infertil","Adj",-1,"N0","MAN"
"4145","infetado","Adj",-1,"N0","JALC"
"4146","infidelidade","N",-1,"N0","MAN"
"4147","infiel","Adj",-1,"N0","MAN"
"4148","inflado","Adj",-1,"N0","MAN"
"4149","inflamado","Adj",-1,"N0","JALC"
"4150","inflexibilidade","N",-1,"N0","MAN"
"4151","inflexivel","Adj",-1,"N0","MAN"
"4152","influenciavel","Adj",-1,"N0","MAN"
"4153","influente","Adj",1,"N0","MAN"
"4154","infoexcluido","Adj",-1,"N0","MAN"
"4155","informal","Adj",0,"N0","MAN"
"4156","informe","Adj",-1,"N0","MAN"
"4157","infortunado","Adj",-1,"N0","MAN"
"4158","infortunio","N",-1,"N0","MAN"
"4159","infrene","Adj",-1,"N0","MAN"
"4160","infringir","V",-1,"N0:N1","MAN"
"4161","infrutifero","Adj",-1,"N0","JALC"
"4162","infundado","Adj",-1,"N0","JALC"
"4163","ingenuo","Adj",-1,"N0","JALC"
"4164","ingenuo","Adj",0,"N0","MAN"
"4165","ingratidao","N",-1,"N0","MAN"
"4166","ingrato","Adj",-1,"N0","MAN"
"4167","inibido","Adj",-1,"N0","JALC"
"4168","inibir-se","V",-1,"N0","MAN"
"4169","inibir","V",1,"N0:N1","MAN"
"4170","inidoneidade","N",-1,"N0","MAN"
"4171","inidoneo","Adj",-1,"N0","MAN"
"4172","inigualavel","Adj",0,"N0","JALC"
"4173","inimigo","Adj",-1,"N0","MAN"
"4174","inimitavel","Adj",0,"N0","MAN"
"4175","ininteligibilidade","N",-1,"N0","MAN"
"4176","ininteligivel","Adj",-1,"N0","MAN"
"4177","ininterrupto","Adj",0,"N0","JALC"
"4178","iniquidade","N",-1,"N0","MAN"
"4179","iniquo","Adj",-1,"N0","MAN"
"4180","injuria","N",-1,"N0","MAN"
"4181","injuriado","Adj",-1,"N0","JALC"
"4182","injuriante","Adj",-1,"N0","MAN"
"4183","injuriar","V",-1,"N0:N1","MAN"
"4184","injurioso","Adj",-1,"N0","MAN"
"4185","injustica","N",-1,"N0","MAN"
"4186","injusticado","Adj",0,"N0","MAN"
"4187","injusto","Adj",-1,"N0","MAN"
"4188","inocente","Adj",1,"N0","MAN"
"4189","inocuo","Adj",0,"N0","MAN"
"4190","inofensivo","Adj",0,"N0","MAN"
"4191","inopinado","Adj",0,"N0","JALC"
"4192","inoportuno","Adj",-1,"N0","MAN"
"4193","inospito","Adj",-1,"N0","MAN"
"4194","inovacao","N",1,"N0","MAN"
"4195","inovador","Adj",1,"N0","MAN"
"4196","inqualificacao","N",-1,"N0","MAN"
"4197","inqualificado","Adj",-1,"N0","MAN"
"4198","inqualificavel","Adj",-1,"N0","MAN"
"4199","inquebrantavel","Adj",-1,"N0","MAN"
"4200","inquestionavel","Adj",1,"N0","MAN"
"4201","inquietacao","N",-1,"N0","MAN"
"4202","inquietante","Adj",-1,"N0","MAN"
"4203","inquieto","Adj",-1,"N0","MAN"
"4204","insaciado","Adj",-1,"N0","MAN"
"4205","insaciavel","Adj",0,"N0","MAN"
"4206","insanidade","N",-1,"N0","MAN"
"4207","insano","Adj",-1,"N0","MAN"
"4208","insatisfatorio","Adj",-1,"N0","JALC"
"4209","insatisfeito","Adj",-1,"N0","JALC"
"4210","inseguranca","N",-1,"N0","MAN"
"4211","inseguro","Adj",-1,"N0","MAN"
"4212","insensatez","N",-1,"N0","MAN"
"4213","insensato","Adj",-1,"N0","MAN"
"4214","insensibilidade","N",-1,"N0","MAN"
"4215","insensivel","Adj",-1,"N0","MAN"
"4216","inseparavel","Adj",0,"N0","JALC"
"4217","insidioso","Adj",-1,"N0","MAN"
"4218","insigne","Adj",1,"N0","MAN"
"4219","insignificante","Adj",-1,"N0","MAN"
"4220","insinceridade","N",-1,"N0","MAN"
"4221","insincero","Adj",-1,"N0","MAN"
"4222","insinuacao","N",-1,"N0","MAN"
"4223","insinuador","Adj",-1,"N0","MAN"
"4224","insinuante","Adj",0,"N0","MAN"
"4225","insinuativo","Adj",-1,"N0","MAN"
"4226","insinuoso","Adj",-1,"N0","MAN"
"4227","insipidez","N",-1,"N0","MAN"
"4228","insipido","Adj",-1,"N0","MAN"
"4229","insipiencia","N",-1,"N0","MAN"
"4230","insipiente","Adj",-1,"N0","MAN"
"4231","insistente","Adj",0,"N0","MAN"
"4232","insociabilidade","N",-1,"N0","MAN"
"4233","insociavel","Adj",-1,"N0","MAN"
"4234","insofrido","Adj",-1,"N0","MAN"
"4235","insolencia","N",-1,"N0","MAN"
"4236","insolente","Adj",-1,"N0","MAN"
"4237","insolito","Adj",-1,"N0","MAN"
"4238","insondavel","Adj",-1,"N0","JALC"
"4239","insonso","Adj",-1,"N0","MAN"
"4240","insosso","Adj",-1,"N0","MAN"
"4241","inspiracao","N",1,"N0","MAN"
"4242","inspirado","Adj",1,"N0","MAN"
"4243","inspirador","Adj",1,"N0","MAN"
"4244","inspirar confianca","IDIOM",1,"N0","MAN"
"4245","instabilidade","N",-1,"N0","MAN"
"4246","instavel","Adj",-1,"N0","MAN"
"4247","instigado","Adj",-1,"N0","JALC"
"4248","instintivo","Adj",0,"N0","MAN"
"4249","instruido","Adj",1,"N0","MAN"
"4250","instrutivo","Adj",1,"N0","JALC"
"4251","insubmisso","Adj",-1,"N0","MAN"
"4252","insubordinacao","N",-1,"N0","MAN"
"4253","insubordinado","Adj",-1,"N0","MAN"
"4254","insubornavel","Adj",1,"N0","MAN"
"4255","insubstituivel","Adj",1,"N0","JALC"
"4256","insuficiente","Adj",-1,"N0","JALC"
"4257","insulsez","N",-1,"N0","MAN"
"4258","insulso","Adj",-1,"N0","MAN"
"4259","insultado","Adj",-1,"N0","JALC"
"4260","insultar","V",-1,"N0:N1","MAN"
"4261","insulto","N",-1,"N0","MAN"
"4262","insultuoso","Adj",-1,"N0","MAN"
"4263","insuperavel","Adj",1,"N0","JALC"
"4264","insuportavel","Adj",-1,"N0","MAN"
"4265","insurgente","Adj",-1,"N0","MAN"
"4266","insurrecto","Adj",-1,"N0","MAN"
"4267","insurreto","Adj",-1,"N0","JALC"
"4268","insusceptivel","Adj",-1,"N0","JALC"
"4269","insuscetivel","Adj",-1,"N0","JALC"
"4270","insuspeito","Adj",1,"N0","JALC"
"4271","intacto","Adj",0,"N0","JALC"
"4272","integridade","N",1,"N0","MAN"
"4273","integrista","Adj",-1,"N0","JALC"
"4274","integro","Adj",1,"N0","MAN"
